id,user_id,health_insurance,pension_plan
455,455,False,True
456,456,False,
457,457,False,False
458,458,True,False
459,459,,True
460,460,False,False
461,461,True,
462,462,True,True
463,463,True,False
464,464,True,
465,465,,False
466,466,,False
467,467,True,False
468,468,True,True
469,469,True,True
470,470,,False
471,471,False,True
472,472,,True
473,473,False,True
474,474,True,
475,475,True,
476,476,,True
477,477,False,False
478,478,False,True
479,479,False,
480,480,,
481,481,False,False
482,482,,False
483,483,,True
484,484,False,False
485,485,,
486,486,False,False
487,487,False,False
488,488,,
489,489,,False
490,490,True,False
491,491,True,True
492,492,True,True
493,493,True,
494,494,False,
495,495,True,
496,496,,True
497,497,False,
498,498,True,True
499,499,,
500,500,True,True
